#{"t_start": 1764201084.5089068, "env_id": "None"}
r,l,t
2.2496195,2500,2545.976447
47.75085,2500,2545.976537
26.749758,2500,2545.976553
-11.250473,2500,2545.976564
-1.0003256,2500,2545.976575
-4.5002017,2500,2570.111796
18.249659,2500,2570.111904
0.74978614,2500,2570.111931
25.249472,2500,2570.111965
12.249529,2500,2570.111981
17.24948,2500,2584.803383
33.750046,2500,2584.803469
11.749466,2500,2584.803485
11.7495365,2500,2584.803496
29.00077,2500,2584.803506
-3.0003195,2500,2599.724473
33.750202,2500,2599.724558
26.4996,2500,2599.724574
26.749546,2500,2599.724585
13.499432,2500,2599.724595
-1.5001007,2500,2614.684976
17.499538,2500,2614.685066
18.24954,2500,2614.685082
24.2496,2500,2614.685094
3.999634,2500,2614.685104
14.749775,2500,2638.12809
10.749514,2500,2638.128225
-3.2501218,2500,2638.128249
49.00118,2500,2638.128266
25.249533,2500,2638.128281
30.749783,2500,2653.593035
46.50081,2500,2653.593354
27.249697,2500,2653.59339
-11.500338,2500,2653.593407
28.999584,2500,2653.593423
